id,user_pattern,departure_station,arrival_station,arrival_day,arrival_time,purchase_day,service,service_departure_time,service_arrival_time,seat,price,utility,best_service,best_seat,best_utility
2540,Tourist,04040,71801,2023-09-06,11.656082736239384,4,03173_06-09-2023-17.30,17.5,20.7,Básico,52.9,46.01875,03203_06-09-2023-20.40,Básico,51.13333333333334
2541,Business,04040,71801,2023-09-06,6.635662882131009,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2542,Student,04040,71801,2023-09-06,8.832748361732008,2,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2543,Student,04040,71801,2023-09-06,22.19671314074858,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2544,Tourist,04040,71801,2023-09-06,2.707975128968357,12,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2545,Tourist,04040,71801,2023-09-06,9.956499655921775,8,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2546,Student,04040,71801,2023-09-06,14.710964155164676,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2547,Business,04040,71801,2023-09-06,7.1819168870150625,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2548,Tourist,04040,71801,2023-09-06,6.4485828396790605,14,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2549,Student,04040,71801,2023-09-06,20.328535413035592,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
255,Business,60000,04040,2023-09-06,8.412065598741675,5,03073_06-09-2023-07.30,7.5,10.7,Elige,92,98.6,03073_06-09-2023-07.30,Básico,98.6
2550,Business,04040,71801,2023-09-06,7.602151389090569,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2551,Student,04040,71801,2023-09-06,18.746213576553398,1,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2552,Business,04040,71801,2023-09-06,8.943937647395307,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2553,Business,04040,71801,2023-09-06,9.49803008682986,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2554,Tourist,04040,71801,2023-09-06,7.781668057456971,11,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2555,Student,04040,71801,2023-09-06,20.815204180299776,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2556,Student,04040,71801,2023-09-06,21.61945009734396,2,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2557,Student,04040,71801,2023-09-06,14.036970556360181,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2558,Tourist,04040,71801,2023-09-06,14.885124126101617,10,06309_06-09-2023-19.30,19.5,23.85,Básico,25,49.868125,03203_06-09-2023-20.40,Básico,51.13333333333334
2559,Business,04040,71801,2023-09-06,9.2230373661006,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
256,Student,60000,04040,2023-09-06,20.37927325308543,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,36.8,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2560,Tourist,04040,71801,2023-09-06,15.556672879997262,11,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2561,Tourist,04040,71801,2023-09-06,21.191843933619808,1,03163_06-09-2023-16.30,16.5,20.466666666666665,Básico,68.05,45.1025,03203_06-09-2023-20.40,Básico,51.13333333333334
2562,Business,04040,71801,2023-09-06,4.921218694376818,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2563,Business,04040,71801,2023-09-06,7.413152459243474,5,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,37.8,80,03073_06-09-2023-07.30,Premium,98.6
2564,Business,04040,71801,2023-09-06,6.471340888032885,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2565,Business,04040,71801,2023-09-06,6.618665665469447,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2566,Business,04040,71801,2023-09-06,8.027514230303682,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2567,Tourist,04040,71801,2023-09-06,16.62099472658584,10,06309_06-09-2023-19.30,19.5,23.85,Básico,25,49.868125,03203_06-09-2023-20.40,Básico,51.13333333333334
2568,Student,04040,71801,2023-09-06,18.582927351077853,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2569,Business,04040,71801,2023-09-06,8.069624465820818,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
257,Student,60000,04040,2023-09-06,14.337794023990426,0,03173_06-09-2023-17.30,17.5,20.7,Básico,92,24.6796875,03143_06-09-2023-14.30,Básico,25.86640625
2570,Tourist,04040,71801,2023-09-06,3.8298670325637865,13,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2571,Student,04040,71801,2023-09-06,14.662861561236008,1,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2572,Student,04040,71801,2023-09-06,19.259448275316334,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2573,Business,04040,71801,2023-09-06,8.842879246747433,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2574,Business,04040,71801,2023-09-06,7.172688618290023,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2575,Student,04040,71801,2023-09-06,13.842071698441499,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2576,Tourist,04040,71801,2023-09-06,15.593247422790359,2,03173_06-09-2023-17.30,17.5,20.7,Básico,52.9,46.01875,03203_06-09-2023-20.40,Básico,51.13333333333334
2577,Business,04040,71801,2023-09-06,7.296341687917262,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2578,Tourist,04040,71801,2023-09-06,21.869912382989455,10,06309_06-09-2023-19.30,19.5,23.85,Básico,25,49.868125,03203_06-09-2023-20.40,Básico,51.13333333333334
2579,Tourist,04040,71801,2023-09-06,9.562328081223518,2,03173_06-09-2023-17.30,17.5,20.7,Básico,52.9,46.01875,03203_06-09-2023-20.40,Básico,51.13333333333334
258,Business,60000,04040,2023-09-06,7.419458210833682,3,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,29.45,80,03073_06-09-2023-07.30,Básico,98.6
2580,Tourist,04040,71801,2023-09-06,23.573204763798735,13,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2581,Business,04040,71801,2023-09-06,8.496769122046008,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2582,Business,04040,71801,2023-09-06,7.464171473210172,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2583,Business,04040,71801,2023-09-06,10.42197488075848,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2584,Tourist,04040,71801,2023-09-06,7.803762208465978,8,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2585,Tourist,04040,71801,2023-09-06,16.596778785426643,8,03183_06-09-2023-18.30,18.5,21.333333333333332,Básico,45.35,47.225,03203_06-09-2023-20.40,Básico,51.13333333333334
2586,Business,04040,71801,2023-09-06,8.944916821943867,4,03073_06-09-2023-07.30,7.5,10.7,Básico,45.35,78.6,03073_06-09-2023-07.30,Premium,98.6
2587,Tourist,04040,71801,2023-09-06,8.703137958278027,11,03203_06-09-2023-20.40,20.666666666666668,23.916666666666668,Básico,18.9,51.13333333333334,03203_06-09-2023-20.40,Básico,51.13333333333334
2588,Business,04040,71801,2023-09-06,7.186343880247229,6,03063_06-09-2023-06.30,6.5,9.333333333333334,Premium,64.25,98.5,03073_06-09-2023-07.30,Premium,98.6
2589,Business,04040,71801,2023-09-06,9.540661644720181,3,,,,,,,03073_06-09-2023-07.30,Premium,98.6
259,Business,60000,04040,2023-09-06,9.181285625066884,5,03073_06-09-2023-07.30,7.5,10.7,Elige,92,98.6,03073_06-09-2023-07.30,Básico,98.6
2590,Student,04040,71801,2023-09-06,21.445500194691018,2,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,83.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2591,Business,04040,71801,2023-09-06,10.66765242068243,2,,,,,,,03073_06-09-2023-07.30,Premium,98.6
2592,Student,04040,71801,2023-09-06,19.939512240984453,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
2593,Student,04040,71801,2023-09-06,21.912252668920814,0,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,80.45,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
